"Country","Year","tax_rev_MLN_USD","tax_rev_PC_GDP","union_density_ADM","union_density_SVY","union_density","union_density.lin_inter","union_density.cst_inter","union_coverage","union_coverage.lin_inter","union_coverage.cst_inter","labor_share"
"Canada",1998,228.973,35.836,32.3527987994772,28.6358575508689,32.3527987994772,32.3527987994772,32.3527987994772,33,33,33,0.6396129
"Canada",1999,246.457,35.609,31.7676530452482,28.0053233129795,31.7676530452482,31.7676530452482,31.7676530452482,32.3,32.3,32.3,0.6261247
"Canada",2000,262.765,34.79,31.1583383230129,28.2001531010543,31.1583383230129,31.1583383230129,31.1583383230129,32.3,32.3,32.3,0.6128672
"Canada",2001,251.952,34.206,31.0221554972538,28.3651309188474,31.0221554972538,31.0221554972538,31.0221554972538,32.3,32.3,32.3,0.6165692
"Canada",2002,251.511,33.199,30.2957790394976,28.2588991131705,30.2957790394976,30.2957790394976,30.2957790394976,32.2,32.2,32.2,0.6175453
"Canada",2003,292.998,32.816,30.173848387211,28.2328364550508,30.173848387211,30.173848387211,30.173848387211,32.2,32.2,32.2,0.6119397
"Canada",2004,335.836,32.825,30.4117843061032,27.8044649303049,30.4117843061032,30.4117843061032,30.4117843061032,31.7,31.7,31.7,0.6075914
"Canada",2005,383.179,32.766,30.4142668319442,27.7481389153318,30.4142668319442,30.4142668319442,30.4142668319442,32,32,32,0.601214
"Canada",2006,431.764,32.821,30.0881151944982,27.4218246292714,30.0881151944982,30.0881151944982,30.0881151944982,31.7,31.7,31.7,0.6062043
"Canada",2007,477.199,32.58,30.1936417135155,27.3426044646086,30.1936417135155,30.1936417135155,30.1936417135155,31.6,31.6,31.6,0.6069324
"Canada",2008,484.818,31.313,29.8181206011279,27.0488141255997,29.8181206011279,29.8181206011279,29.8181206011279,31.2,31.2,31.2,0.597528
"Czech Republic",1993,15.01,36.96,67.1785028790787,NA,67.1785028790787,67.1785028790787,67.1785028790787,70.7773512476008,70.7773512476008,70.7773512476008,0.5386807
"Czech Republic",1994,16.977,35.699,53.1529928219731,NA,53.1529928219731,53.1529928219731,53.1529928219731,65.325977338791,65.325977338791,65.325977338791,0.5544232
"Czech Republic",1995,20.749,34.712,44.5471239855459,NA,44.5471239855459,44.5471239855459,44.5471239855459,67.2708962739174,67.2708962739174,67.2708962739174,0.5346615
"Czech Republic",1996,22.308,33.307,40.3719718059587,NA,40.3719718059587,40.3719718059587,40.3719718059587,61.410886690754,61.410886690754,61.410886690754,0.5502192
"Czech Republic",1997,20.762,33.606,37.6459375744579,NA,37.6459375744579,37.6459375744579,37.6459375744579,55.992375506314,55.992375506314,55.992375506314,0.5619367
"Czech Republic",1998,21.578,32.452,32.0558329823717,NA,32.0558329823717,32.0558329823717,32.0558329823717,48.5891342277841,48.5891342277841,48.5891342277841,0.5490246
"Czech Republic",1999,21.574,33.278,29.9621746178643,NA,29.9621746178643,29.9621746178643,29.9621746178643,51.1046378017801,51.1046378017801,51.1046378017801,0.5480657
"Czech Republic",2000,19.971,32.428,27.2132841142454,NA,27.2132841142454,27.2132841142454,27.2132841142454,47.950814508712,47.950814508712,47.950814508712,0.5547152
"Czech Republic",2001,21.978,32.542,23.7685762904141,NA,23.7685762904141,23.7685762904141,23.7685762904141,38.2933131656898,38.2933131656898,38.2933131656898,0.5591412
"Czech Republic",2002,27.356,33.391,22.3717140118069,NA,22.3717140118069,22.3717140118069,22.3717140118069,42.96382259448,42.96382259448,42.96382259448,0.5787269
"Czech Republic",2003,34.13,34.257,22.2789988614654,NA,22.2789988614654,22.2789988614654,22.2789988614654,45.9530563542451,45.9530563542451,45.9530563542451,0.5931831
"Czech Republic",2004,41.338,34.684,20.6354708261121,NA,20.6354708261121,20.6354708261121,20.6354708261121,43.3917452981578,43.3917452981578,43.3917452981578,0.5910361
"Czech Republic",2005,46.956,34.451,19.1165984913874,NA,19.1165984913874,19.1165984913874,19.1165984913874,41.6307026431994,41.6307026431994,41.6307026431994,0.5874712
"Czech Republic",2006,52.908,34.016,18.1361883097616,NA,18.1361883097616,18.1361883097616,18.1361883097616,50.0692315300168,50.0692315300168,50.0692315300168,0.5828626
"Czech Republic",2007,64.752,34.211,17.3834973247759,NA,17.3834973247759,17.3834973247759,17.3834973247759,50.2286983002317,50.2286983002317,50.2286983002317,0.5777185
