"countrycode1","countrycode2","year","cor_exp"
"ESP","ESP",1975,1
"ESP","FRA",1975,0.723058011358706
"ESP","GBR",1975,0.620850613165908
"ESP","HUN",1975,0.530570182744675
"ESP","IND",1975,0.134531755715885
"ESP","IRL",1975,0.590983350258184
"ESP","IRN",1975,0.278714941560341
"ESP","ITA",1975,0.599842456140421
"ESP","JAM",1975,0.605080078882799
"ESP","JPN",1975,0.51014691537195
"ESP","KEN",1975,0.29029867367851
"ESP","KOR",1975,0.243789936312698
"ESP","LKA",1975,0.071882552444425
"ESP","LUX",1975,0.64534971777147
"ESP","MEX",1975,0.555706378797662
"ESP","MWI",1975,0.18252429663108
"ESP","MYS",1975,0.380444935676949
"ESP","NLD",1975,0.651414138496604
"ESP","PAK",1975,0.152080767222794
"ESP","PHL",1975,0.400290965057819
"ESP","POL",1975,0.528809270958659
"ESP","ROU",1975,0.500491372491677
"ESP","SYR",1975,0.355592817906413
"ESP","THA",1975,0.223553724403851
"ESP","URY",1975,0.500293210702503
"ESP","USA",1975,0.556103715426217
"ESP","YUG",1975,0.614507984070511
"ESP","ZMB",1975,0.349519459444176
"FRA","AUT",1975,0.776970123224777
"FRA","BEL",1975,0.868452908388929
"FRA","BRA",1975,0.62922368968805
"FRA","COL",1975,0.409553521480312
"FRA","DEU",1975,0.822615170959187
"FRA","DNK",1975,0.765671818207832
"FRA","ESP",1975,0.723058011358706
"FRA","FRA",1975,1
"FRA","GBR",1975,0.83802609335664
"FRA","HUN",1975,0.524242494806195
"FRA","IND",1975,0.0687507062178814
"FRA","IRL",1975,0.759881690399777
"FRA","IRN",1975,0.545269939682378
"FRA","ITA",1975,0.788287380587032
"FRA","JAM",1975,0.677625824078813
"FRA","JPN",1975,0.616637473215951
"FRA","KEN",1975,0.507181606653604
"FRA","KOR",1975,0.249041098752264
"FRA","LKA",1975,0.0771390095659265
"FRA","LUX",1975,0.839712461931845
"FRA","MEX",1975,0.52392172389197
"FRA","MWI",1975,0.212182029258065
"FRA","MYS",1975,0.642933872037991
"FRA","NLD",1975,0.82779044251676
"FRA","PAK",1975,0.204393151084772
"FRA","PHL",1975,0.266559527480409
"FRA","POL",1975,0.376443726783397
"FRA","ROU",1975,0.349742091476457
"FRA","SYR",1975,0.455645824130359
"FRA","THA",1975,0.226113671335121
"FRA","URY",1975,0.605426339837111
"FRA","USA",1975,0.8015946639357
"FRA","YUG",1975,0.56548560395156
"FRA","ZMB",1975,0.490009833228718
"GBR","AUT",1975,0.845028363465193
"GBR","BEL",1975,0.895079866272528
"GBR","BRA",1975,0.640514832798856
"GBR","COL",1975,0.430267601767415
"GBR","DEU",1975,0.893326484464543
"GBR","DNK",1975,0.845329188912831
"GBR","ESP",1975,0.620850613165908
"GBR","FRA",1975,0.83802609335664
"GBR","GBR",1975,1
"GBR","HUN",1975,0.421723390569172
"GBR","IND",1975,0.0794075052915584
"GBR","IRL",1975,0.857340992901562
"GBR","IRN",1975,0.560296672850556
"GBR","ITA",1975,0.789686656068781
"GBR","JAM",1975,0.711046447876196
"GBR","JPN",1975,0.554906329104886
"GBR","KEN",1975,0.538806998487623
"GBR","KOR",1975,0.288236995155642
"GBR","LKA",1975,0.133136255707734
"GBR","LUX",1975,0.878441808614258
"GBR","MEX",1975,0.463464176298143
"GBR","MWI",1975,0.213745127394795
"GBR","MYS",1975,0.663635751684723
"GBR","NLD",1975,0.84373149031017
"GBR","PAK",1975,0.210538091417267
"GBR","PHL",1975,0.212265284940347
"GBR","POL",1975,0.311899352411378
"GBR","ROU",1975,0.246670322673318
"GBR","SYR",1975,0.497970418011542
"GBR","THA",1975,0.230175131929988
"GBR","URY",1975,0.564977029121852
"GBR","USA",1975,0.845590367517371
"GBR","YUG",1975,0.498735433717638
"GBR","ZMB",1975,0.554193280493358
"HUN","AUT",1975,0.53045093230924
"HUN","BEL",1975,0.511376179266466
"HUN","BRA",1975,0.430729863511826
"HUN","COL",1975,0.290857859827782
"HUN","DEU",1975,0.410676537871785
"HUN","DNK",1975,0.376653991527005
"HUN","ESP",1975,0.530570182744675
"HUN","FRA",1975,0.524242494806195
"HUN","GBR",1975,0.421723390569172
"HUN","HUN",1975,1
"HUN","IND",1975,0.178381570030987
"HUN","IRL",1975,0.565029518986925
"HUN","IRN",1975,0.455367236748447
"HUN","ITA",1975,0.533798404521792
"HUN","JAM",1975,0.468908533184628
"HUN","JPN",1975,0.462534142160799
"HUN","KEN",1975,0.335850671851811
"HUN","KOR",1975,0.34394408816492
"HUN","LKA",1975,0.0992962064075754
"HUN","LUX",1975,0.551194135834339
"HUN","MEX",1975,0.507805076944117
"HUN","MWI",1975,0.303425595620592
"HUN","MYS",1975,0.394611154401897
"HUN","NLD",1975,0.460168471280042
"HUN","PAK",1975,0.126535788322338
"HUN","PHL",1975,0.42193484395126
"HUN","POL",1975,0.823589946132514
"HUN","ROU",1975,0.786906297471539
"HUN","SYR",1975,0.366582513951582
"HUN","THA",1975,0.316521395341746
"HUN","URY",1975,0.354790644775741
"HUN","USA",1975,0.488118440069172
"HUN","YUG",1975,0.819798878063372
"HUN","ZMB",1975,0.594108352035923
"IND","AUT",1975,0.0640293128090168
"IND","BEL",1975,0.0739308781450638
"IND","BRA",1975,0.314871436736865
"IND","COL",1975,0.224744856414182
"IND","DEU",1975,0.0654895452955458
"IND","DNK",1975,0.047167204303741
"IND","ESP",1975,0.134531755715885
"IND","FRA",1975,0.0687507062178814
"IND","GBR",1975,0.0794075052915584
"IND","HUN",1975,0.178381570030987
"IND","IND",1975,1
"IND","IRL",1975,0.0641132936214927
"IND","IRN",1975,0.249565399706642
"IND","ITA",1975,0.124496306506629
"IND","JAM",1975,0.345297611731154
"IND","JPN",1975,0.190579345596923
"IND","KEN",1975,0.5155705898308
"IND","KOR",1975,0.712596323347924
"IND","LKA",1975,0.832927439246588
"IND","LUX",1975,0.116543912695148
"IND","MEX",1975,0.25695279228479
"IND","MWI",1975,0.581376069343044
"IND","MYS",1975,0.369718253133063
"IND","NLD",1975,0.0622166172173495
"IND","PAK",1975,0.705974071970164
"IND","PHL",1975,0.648731126917781
"IND","POL",1975,0.199184071824419
"IND","ROU",1975,0.262126351089461
"IND","SYR",1975,0.414538475495164
"IND","THA",1975,0.595395980081029
"IND","URY",1975,0.173669334672534
"IND","USA",1975,0.12581618706751
"IND","YUG",1975,0.307955169570606
"IND","ZMB",1975,0.326761883141482
"IRL","AUT",1975,0.846101794953147
"IRL","BEL",1975,0.8292424836528
"IRL","BRA",1975,0.612340418624149
"IRL","COL",1975,0.489305701450942
"IRL","DEU",1975,0.753070986815294
"IRL","DNK",1975,0.719246675021463
"IRL","ESP",1975,0.590983350258184
"IRL","FRA",1975,0.759881690399777
"IRL","GBR",1975,0.857340992901562
"IRL","HUN",1975,0.565029518986925
"IRL","IND",1975,0.0641132936214927
"IRL","IRL",1975,1
"IRL","IRN",1975,0.474785170891924
"IRL","ITA",1975,0.745798027481172
"IRL","JAM",1975,0.606853549121253
"IRL","JPN",1975,0.477828953827274
"IRL","KEN",1975,0.459785945887825
"IRL","KOR",1975,0.279373365563878
"IRL","LKA",1975,0.114401330411592
